File,Authors
lib/Range.pod, 3
assets/sass/_jquery-ui.scss, 1
doc/Language/exceptions.pod6, 14
doc/Type/Parameter.pod6, 5
doc/Type/X/Syntax/Missing.pod, 1
lib/Language/functions.pod, 12
lib/Type/X/Syntax/NoSelf.pod, 2
doc/Type/Dateish.pod, 6
lib/Backtrace.pod, 1
lib/Setty.pod, 1
doc/Type/X/OutOfRange.pod6, 2
doc/Type/Scheduler.pod, 1
t/pod-valid.t, 3
doc/Type/Telemetry/Instrument/ThreadPool.p6, 1
doc/Type/Stash.pod6, 3
sketch/html/css/custom-theme/images/ui-bg_inset-hard_95_e47286_1x100.png, 1
doc/Type/X/Placeholder/Block.pod6, 2
doc/Type/Blob.pod, 4
doc/Type/X/Channel/SendOnClosed.pod, 2
lib/Type/X/Promise/CauseOnlyValidOnBroken.pod, 1
