File,Entropy,Authors,Size
t/3rdparty/Unicode/LICENSE,0,1,2967
src/core/Stringy.pm6,0.6931471805599453,2,2835
tools/build/gen-version.pl,1.9072839993213795,8,1292
src/Perl6/Compiler.nqp,2.4790395025435332,26,5875
docs/architecture.svg,0.9556998911125343,3,26400
src/vm/jvm/CompUnit/Repository/Java.pm6,0,1,1961
src/Perl6/Metamodel/MethodDelegation.nqp,0.6931471805599453,2,321
t/spectest.data.6.c,1.0114042647073518,3,31606
src/core/Channel.pm6,0.45056120886630463,2,9484
README.md,2.571614822221535,18,6892
src/Perl6/Metamodel/MultiMethodContainer.nqp,0.5623351446188083,2,4479
tools/build/makeUNIPROP.pl6,0.34883209584303193,2,12252
src/Perl6/Metamodel/Mixins.nqp,0.9830877585747855,4,4903
tools/build/Makefile-common-macros.in,1.7478680974667573,6,493
src/Perl6/Metamodel/RoleToClassApplier.nqp,1.1269287948006759,4,8663
src/core/Attribute.pm6,1.0397207708399179,3,9306
src/core/array_slice.pm6,0.9502705392332347,3,19219
docs/announce/2009-02,0.5623351446188083,2,3129
src/core/Variable.pm6,0.6931471805599453,2,6349
t/01-sanity/08-var-array.t,1.3862943611198906,4,386
src/Perl6/Metamodel/RoleToRoleApplier.nqp,0.9502705392332347,3,9876
src/Perl6/Actions.nqp,2.3823939391978115,40,424433
src/core/CurrentThreadScheduler.pm6,0,1,941
docs/announce/2011.02,0.6931471805599453,2,2072
docs/announce/2017.02.md,0.6931471805599453,2,10673
t/01-sanity/07-op-string.t,1.0986122886681096,3,732
.gitignore,2.232641802820689,20,1318
src/core/Rakudo/QuantHash.pm6,0,1,56712
docs/announce/2014.07.md,0,1,3578
src/Perl6/Metamodel/ContainerDescriptor.nqp,1.0114042647073518,3,1028
t/02-rakudo/07-io-cathandle.t,0,1,471
.github/ISSUE_TEMPLATE.md,0.6931471805599453,2,458
src/core/set_intersection.pm6,0,1,4936
docs/announce/2017.04.2.md,0,1,2946
src/Perl6/Metamodel/BOOTSTRAP.nqp,1.9418923251566893,21,160890
docs/announce/2010.09,0,1,2823
src/Perl6/Metamodel/CoercionHOW.nqp,0.6365141682948128,2,2463
src/core/Shaped3Array.pm6,0,1,4818
t/04-nativecall/16-rt125408.t,1.5498260458782016,5,429
src/core/CompUnit/DependencySpecification.pm6,0,1,604
src/core/set_difference.pm6,0.6931471805599453,2,8170
src/core/IO/Special.pm6,0,1,1086
t/06-telemetry/04-threadpool.t,0,1,3318
src/core/hash_slice.pm6,1.0397207708399179,3,9243
tools/build/makeMAGIC_INC_DEC.pl6,0.34883209584303193,2,7464
tools/benchmark.pl,0,1,1992
tools/build/makeNATIVE_SHAPED_ARRAY.pl6,0.12974069471942834,2,22403
src/core/CompUnit/PrecompilationUnit.pm6,0.6931471805599453,2,4509
src/core/Lock.pm6,0.6931471805599453,2,1061
docs/announce/2018.01.md,0,1,8468
t/01-sanity/15-sub.t,0.6931471805599453,2,211
t/02-rakudo/06-is.t,0,1,322
docs/announce/2013.05.md,0,1,3395
t/packages/Test/Helpers.pm6,0.355712859746894,3,9232
src/core/Rakudo/Iterator.pm6,1.4270610433807247,5,158915
src/core/Iterator.pm6,0.6931471805599453,2,5710
docs/announce/2009-05,0.6931471805599453,2,2983
src/core/CompUnit/Repository/Unknown.pm6,0,1,883
src/core/List.pm6,1.6167338407419847,6,59716
dynext/IGNORE,0,1,37
src/main.nqp,1.6491572150189724,8,1269
docs/announce/2017.10.md,0,1,10235
src/core/Cancellation.pm6,0,1,490
docs/announce/2015.06.md,0,1,3533
docs/announce/2010.10,0,1,2360
docs/announce/2011.04,0,1,2106
src/core/REPL.pm6,0.6365141682948128,2,13203
src/core/stubs.pm6,0.6931471805599453,2,1908
t/01-sanity/17-isa.t,0.6931471805599453,2,303
src/core/JVM/KeyReducer.pm6,0,1,2495
src/core/CompUnit/Repository/NQP.pm6,0.6931471805599453,2,1044
src/core/IO/Spec/QNX.pm6,0,1,720
docs/val.pod6,0,1,5053
docs/announce/2012.09.1,0,1,3233
docs/announce/2018.03.md,0,1,7675
src/core/IO/Handle.pm6,1.351783994289646,4,28794
src/core/Mu.pm6,1.0397207708399179,3,40109
docs/announce/2015.03.md,0.5004024235381879,2,6053
lib/Pod/To/Text.pm6,2.2055983590263937,10,3924
docs/announce/2018.02.md,0,1,8017
docs/announce/2015.07.md,0.9002560512685369,3,3548
t/04-nativecall/01-argless.t,1.0361987848192837,3,1353
src/core/Regex.pm6,0.6931471805599453,2,3191
tools/create-release-announcement.p6,0,1,6500
src/core/WhateverCode.pm6,0,1,605
src/vm/moar/ops/container.c,1.0363518510583525,8,18991
t/04-nativecall/00-misc.c,0,1,218
src/core/CompUnit/Repository/Locally.pm6,0,1,1415
docs/announce/2013.12.md,0,1,2902
tools/contributors.p6,0,1,3864
tools/build/Makefile-JVM.in,2.3155685358783575,29,10469
t/04-nativecall/02-simple-args.c,1.4708084763221114,5,1793
src/core/Any.pm6,0.9556998911125343,3,20497
src/core/Str.pm6,1.2424533248940002,4,113681
tools/autounfudge.pl,0.9807574129995511,6,9163
t/05-messages/11-overflow.t,0,1,1778
src/core/IO/Socket.pm6,0.6931471805599453,2,3483
docs/announce/2016.06.md,0,1,4290
src/Perl6/Metamodel/GrammarHOW.nqp,0,1,114
src/core/IO/Spec/Win32.pm6,0,1,11313
t/02-rakudo/09-thread-id-after-await.t,0,1,922
src/vm/moar/ops/perl6_ops.c,1.0364652535581385,9,32672
t/harness6,1.4218956404837546,7,6542
t/05-messages/02-errors.t,0.7302495951434956,5,11153
docs/ROADMAP,1.5434994477533686,10,2765
docs/announce/2009-11,1.3321790402101223,4,3100
docs/announce/2010.12,0,1,2054
docs/announce/2012.01,0,1,2926
src/core/allomorphs.pm6,0.5623351446188083,2,23013
src/core/Instant.pm6,0.6931471805599453,2,3948
src/core/Bool.pm6,0.6931471805599453,2,6054
src/core/CompUnit/Repository/Installation.pm6,0.6365141682948128,2,23766
src/Perl6/Metamodel/Dispatchers.nqp,0.37677016125643675,2,4128
t/06-telemetry/03-thread.t,0,1,3288
t/04-nativecall/14-rw-attrs.c,0,1,666
docs/announce/2011.07,0,1,2740
src/Perl6/Metamodel/InvocationProtocol.nqp,1.0296530140645737,3,3660
src/core/HyperConfiguration.pm6,0.6931471805599453,2,584
src/core/Order.pm6,1.0986122886681096,3,1598
src/core/ObjAt.pm6,0,1,779
docs/line-editor.pod,0,1,1199
t/01-sanity/98-test-deprecated.t,0,1,556
t/04-nativecall/02-simple-args.t,1.559581156259877,7,3143
lib/Telemetry.pm6,0.3326700811142705,4,29599
src/core/Date.pm6,0.6931471805599453,2,8243
src/Perl6/Metamodel/Documenting.nqp,0.7963116401738131,3,180
src/core/ThreadPoolScheduler.pm6,1.1199903556503674,4,41356
t/04-nativecall/13-cpp-mangling.t,1.0042424730540764,3,5207
src/core/AST.pm6,0,1,1213
src/core/atomicops.pm6,0.6931471805599453,2,7593
src/core/ForeignCode.pm6,0,1,3438
tools/build/moar_core_d_sources,1.0549201679861442,3,50
t/02-rakudo/01-is_approx.t,1.0397207708399179,3,2085
lib/snapper.pm6,0,1,182
docs/announce/2016.03.md,0,1,4753
docs/announce/2014.08.md,0,1,3331
src/core/Callable.pm6,0,1,214
lib/NativeCall/Compiler/GNU.pm6,1.3862943611198906,4,2461
docs/announce/2015.11.md,0,1,4556
docs/announce/2016.05.md,0,1,4192
src/Perl6/Metamodel/Versioning.nqp,0,1,258
t/02-rakudo/08-inline-native-arith.t,0.5004024235381879,2,882
src/vm/jvm/Perl6/JavaModuleLoader.nqp,1.0042424730540764,3,1341
src/Perl6/Metamodel/Finalization.nqp,0.6931471805599453,2,656
docs/announce/2011.10,0.6365141682948128,2,3599
t/04-nativecall/13-union.c,0,1,2339
src/core/Promise.pm6,0.6931471805599453,2,9413
t/01-sanity/20-defined.t,0.6931471805599453,2,238
docs/announce/2015.09.md,0.5004024235381879,2,4221
t/3rdparty/Unicode/10.0.0/LineBreak.txt,0,1,228366
src/core/Pod.pm6,0,1,2703
src/core/Cool.pm6,0.5004024235381879,2,22432
t/06-telemetry/01-basic.t,1.0397207708399179,3,3000
docs/announce/2013.06.md,0,1,3219
tools/build/gen-cat.nqp,1.7328679513998633,6,1755
t/01-sanity/05-var.t,1.0986122886681096,3,581
src/core/Encoding/Registry.pm6,0.6365141682948128,2,2673
tools/perl6-limited.pl,0,1,76
src/Perl6/World.nqp,2.167142934560106,27,199053
tools/rakudo-swarm.config,0.6931471805599453,2,1940
docs/announce/2010.03,0.9002560512685369,3,2802
docs/announce/2016.04.md,0,1,3627
gen/jvm/.gitignore,0.6365141682948128,2,2
docs/announce/2009-06,0,1,3401
src/core/Macro.pm6,0,1,62
docs/metamodel.pod,1.4270610433807247,5,13370
docs/announce/2012.03,0.6365141682948128,2,3378
src/Perl6/Metamodel/DefiniteHOW.nqp,1.9061547465398496,7,4683
src/core/Block.pm6,0.6931471805599453,2,2944
src/core/Mixy.pm6,0,1,5202
src/core/Scheduler.pm6,0,1,872
src/core/StrDistance.pm6,0,1,1275
src/core/Systemic.pm6,0,1,1132
t/04-nativecall/08-callbacks.t,0.9368883075390159,3,1809
docs/archive/constants-type-constraints-proposal-2018-02-10.md,0,1,6522
docs/announce/2014.04.md,0,1,3132
t/04-nativecall/01-argless.c,1.2148896539491205,4,576
src/core/CompUnit/PrecompilationStore.pm6,0,1,1936
tools/build/jvm_core_d_sources,1.0549201679861442,3,50
src/Perl6/Metamodel/BoolificationProtocol.nqp,0.6931471805599453,2,789
t/04-nativecall/17-libnames.t,1.3321790402101223,4,697
t/04-nativecall/11-cpp.cpp,0,1,1784
docs/archive/2018-03-04--Polishing-Rationals.md,0,1,15695
src/core/TypedArray.pm6,0.6365141682948128,2,4731
docs/announce/2014.06.md,0,1,3333
src/perl6-debug.nqp,1.9408430327407733,8,17568
tools/build/makeSLICE.pl6,0.8838756262717338,4,17607
src/core/Collation.pm6,0,1,1827
docs/spectest-progress.csv,0.02361769820424436,2,45675
src/Perl6/Metamodel/PackageHOW.nqp,0.9556998911125343,3,964
CREDITS,3.503987885818886,50,13121
docs/announce/2011.11,0.6365141682948128,2,3717
tools/build/common_bootstrap_sources,0.7963116401738131,3,1832
src/core/Metamodel/Primitives.pm6,0,1,1979
src/core/Enumeration.pm6,0,1,3934
lib/experimental.pm6,1.0114042647073516,3,1323
t/04-nativecall/03-simple-returns.t,0.8486855577264172,3,1531
docs/announce/2016.12.md,1.0397207708399179,3,10417
t/04-nativecall/15-rw-args.t,1.0888999753452235,4,3699
docs/announce/2013.11.md,0.5623351446188083,2,3233
t/packages/Test/Helpers/QAST.pm6,0,1,5883
tools/build/Makefile-common-rules.in,1.4941751382893083,5,426
docs/windows.md,0,1,1772
t/3rdparty/Unicode/10.0.0/UnicodeData.txt,0,1,1735010
src/vm/moar/Perl6/Ops.nqp,1.169235168452365,10,31678
src/core/CompUnit/Repository/Spec.pm6,0,1,1215
src/vm/moar/ModuleLoaderVMConfig.nqp,1.5607104090414063,5,958
appveyor.yml,1.7351264569629226,6,1549
src/core/IO/ArgFiles.pm6,0,1,386
t/04-nativecall/09-nativecast.t,0.5623351446188083,2,1532
docs/compiler_overview.pod,2.0161537172613797,10,12465
docs/announce/2011.09,0.6001660731596457,3,3985
src/core/Complex.pm6,1.0397207708399179,3,14621
src/core/Cursor.pm6,0,1,60
docs/announce/2012.09,0,1,3301
docs/announce/2015.08.md,1.0397207708399179,3,2219
docs/announce/2011.12,0.5623351446188083,2,3042
tools/build/check-nqp-version.pl,0,1,732
t/01-sanity/11-tap.t,0.6931471805599453,2,337
docs/announce/2015.04.md,0.45056120886630463,2,3781
src/Perl6/Metamodel/ParametricRoleHOW.nqp,1.2527629684953678,5,7344
docs/announce/2016.09.md,0,1,7165
src/core/Set.pm6,0,1,3390
src/core/Shaped2Array.pm6,0,1,4481
src/Perl6/Metamodel/Stashing.nqp,0,1,573
t/04-nativecall/15-rw-args.c,0.6365141682948128,2,1572
src/core/Backtrace.pm6,0,1,11311
src/core/IO.pm6,0,1,560
src/core/Encoding/Encoder.pm6,0,1,109
src/core/QuantHash.pm6,0,1,1227
docs/announce/2009-04,0,1,3299
docs/announce/2016.02.md,0.5623351446188083,2,3996
docs/announce/2014.09.md,0,1,3392
tools/util/perlcritic.conf,0,1,1023
docs/announce/2012.10,0,1,2930
INSTALL.txt,2.339371734389815,11,7268
t/04-nativecall/21-callback-other-thread.t,0,1,763
docs/announce/2013.02,1.0986122886681096,3,3141
src/core/Kernel.pm6,0.6931471805599453,2,5850
docs/announce/2012.06,1.0549201679861442,3,2984
t/04-nativecall/18-routine-sig-sanity.t,1.0114042647073516,3,4375
t/04-nativecall/12-sizeof.t,0.9184277849930975,3,3262
tools/update-passing-test-data.pl,0,1,3696
t/04-nativecall/11-cpp.t,0.6829081047004717,2,3185
src/core/Sequence.pm6,0.6931471805599453,2,2749
docs/announce/2011.01,0,1,2140
t/09-moar/00-misc.t,0,1,334
docs/announce/2011.03,0,1,2042
docs/S11-Modules-proposal.pod,1.5498260458782016,5,5184
t/09-moar/UnipropCheck.pm6,0,1,8115
src/Perl6/Metamodel/SubsetHOW.nqp,1.4708084763221114,5,2784
src/vm/jvm/Perl6/Metamodel/JavaHOW.nqp,0.5004024235381879,2,1097
src/Perl6/Metamodel/MROBasedTypeChecking.nqp,0.6931471805599453,2,1245
src/vm/jvm/runtime/org/perl6/rakudo/RakOps.java,1.7225658353890083,12,31611
src/core/control.pm6,1.0986122886681096,3,6895
src/core/Match.pm6,1.0986122886681096,3,32506
docs/announce/2018.05.md,0,1,6152
src/core/Baggy.pm6,0.6931471805599453,2,24795
t/02-rakudo/10-nqp-ops.t,0,1,445
src/core/Label.pm6,0,1,1886
src/core/SetHash.pm6,0,1,6961
t/05-messages/moar/01-errors.t,0,1,589
lib/NativeCall.pm6,2.222392398749295,15,27958
src/core/IO/Spec.pm6,0,1,687
docs/announce/2016.11.md,0,1,12588
t/01-sanity/04-op-cmp.t,1.0986122886681096,3,685
src/vm/jvm/runtime/org/perl6/rakudo/RakudoContainerConfigurer.java,0.6931471805599453,2,576
src/core/DateTime.pm6,0.6931471805599453,2,16104
docs/announce/2010.02,1.0986122886681096,3,4208
src/Perl6/Metamodel/EXPORTHOW.nqp,0.6365141682948128,2,1066
src/core/Capture.pm6,0.6931471805599453,2,5298
t/04-nativecall/21-callback-other-thread.c,0,1,310
src/core/Exception.pm6,1.698782989513801,7,91307
t/10-qast/00-misc.t,0,1,525
docs/announce/2013.07.md,0.6931471805599453,2,3074
src/core/Deprecations.pm6,0.6931471805599453,2,4409
docs/announce/2014.05.md,0,1,3789
src/core/IO/Notification.pm6,0,1,1072
docs/architecture.html,1.3321790402101223,4,5277
src/core/Rakudo/Internals/HyperWorkBatch.pm6,0.6931471805599453,2,1554
src/core/Rakudo/Internals/HyperWorkStage.pm6,0.6931471805599453,2,2508
t/04-nativecall/10-cglobals.t,0.410116318288409,2,965
src/vm/jvm/ModuleLoaderVMConfig.nqp,1.5498260458782016,5,715
src/core/Positional.pm6,0,1,87
src/core/Semaphore.pm6,0,1,363
docs/announce/2014.11.md,0,1,3856
